cell_angle	gene_angle	expression
-3.1104432458128173	-3.109478712081909	-0.4770995
-3.1104432458128173	-3.0473597049713135	-0.48581555
-3.1104432458128173	-2.985633373260498	-0.39857566
-3.1104432458128173	-2.9224565029144287	-0.33253816
-3.1104432458128173	-2.856133222579956	-0.43391436
-3.1104432458128173	-2.797699213027954	-0.36572957
-3.1104432458128173	-2.7291858196258545	-0.34614342
-3.1104432458128173	-2.6618740558624268	-0.25193292
-3.1104432458128173	-2.602829933166504	-0.3670933
-3.1104432458128173	-2.5442583560943604	-0.3255854
-3.1104432458128173	-2.4804086685180664	-0.18419978
-3.1104432458128173	-2.415600299835205	-0.20656732
-3.1104432458128173	-2.3584494590759277	-0.107641675
-3.1104432458128173	-2.2947964668273926	-0.17161289
-3.1104432458128173	-2.2297050952911377	-0.17559087
-3.1104432458128173	-2.168456792831421	-0.090537526
-3.1104432458128173	-2.101581573486328	-0.057737827
-3.1104432458128173	-2.0458967685699463	-0.07645352
-3.1104432458128173	-1.9777483940124512	-0.010846872
-3.1104432458128173	-1.9128226041793823	-0.0015189114
-3.1104432458128173	-1.8519814014434814	0.08967388
-3.1104432458128173	-1.7941845655441284	0.08152558
-3.1104432458128173	-1.7273229360580444	0.036016267
-3.1104432458128173	-1.6651979684829712	0.07145614
-3.1104432458128173	-1.6075050830841064	0.1531621
-3.1104432458128173	-1.5443035364151	0.1042547
-3.1104432458128173	-1.4727277755737305	0.28667116
-3.1104432458128173	-1.4139424562454224	0.22429381
-3.1104432458128173	-1.3455209732055664	0.3095549
-3.1104432458128173	-1.2895607948303223	0.23358417
-3.1104432458128173	-1.221773386001587	0.3136455
-3.1104432458128173	-1.164669156074524	0.3833757
-3.1104432458128173	-1.099971055984497	0.33050236
-3.1104432458128173	-1.0343983173370361	0.43876705
-3.1104432458128173	-0.9739236831665039	0.31081375
-3.1104432458128173	-0.9119856357574463	0.35009703
-3.1104432458128173	-0.8440308570861816	0.48020378
-3.1104432458128173	-0.7903368473052979	0.4303382
-3.1104432458128173	-0.7244436740875244	0.4166046
-3.1104432458128173	-0.6612889766693115	0.43175524
-3.1104432458128173	-0.595792293548584	0.4192914
-3.1104432458128173	-0.5361325740814209	0.49448672
-3.1104432458128173	-0.47090935707092285	0.5587425
-3.1104432458128173	-0.4109535217285156	0.42784458
-3.1104432458128173	-0.34644317626953125	0.46396732
-3.1104432458128173	-0.2832071781158447	0.47923502
-3.1104432458128173	-0.21805453300476074	0.5001197
-3.1104432458128173	-0.1574387550354004	0.38627
-3.1104432458128173	-0.08918452262878418	0.57811874
-3.1104432458128173	-0.028408050537109375	0.45287052
-3.1104432458128173	0.024336814880371094	0.5211243
-3.1104432458128173	0.09090685844421387	0.4275892
-3.1104432458128173	0.15960693359375	0.38582316
-3.1104432458128173	0.22107338905334473	0.39787146
-3.1104432458128173	0.2856314182281494	0.44168448
-3.1104432458128173	0.3498544692993164	0.3998013
-3.1104432458128173	0.4086422920227051	0.22520038
-3.1104432458128173	0.47290992736816406	0.22249311
-3.1104432458128173	0.5360541343688965	0.21291271
-3.1104432458128173	0.5956895351409912	0.19802517
-3.1104432458128173	0.6555202007293701	0.11831182
-3.1104432458128173	0.7196800708770752	0.14059517
-3.1104432458128173	0.7912805080413818	-0.036396254
-3.1104432458128173	0.84893798828125	0.07033255
-3.1104432458128173	0.9053328037261963	-0.07056495
-3.1104432458128173	0.9757659435272217	-0.011538379
-3.1104432458128173	1.0212981700897217	-0.14735837
-3.1104432458128173	1.099482774734497	-0.10493989
-3.1104432458128173	1.1618053913116455	-0.25641736
-3.1104432458128173	1.226590871810913	-0.24970776
-3.1104432458128173	1.294706106185913	-0.29341355
-3.1104432458128173	1.3497602939605713	-0.37120825
-3.1104432458128173	1.414992094039917	-0.4217448
-3.1104432458128173	1.4737060070037842	-0.47246692
-3.1104432458128173	1.542611837387085	-0.47449112
-3.1104432458128173	1.6040899753570557	-0.56476915
-3.1104432458128173	1.6686322689056396	-0.5420268
-3.1104432458128173	1.728276014328003	-0.59784424
-3.1104432458128173	1.7889163494110107	-0.49163172
-3.1104432458128173	1.853238821029663	-0.5617507
-3.1104432458128173	1.9198367595672607	-0.6477515
-3.1104432458128173	1.980355978012085	-0.6830751
-3.1104432458128173	2.0421578884124756	-0.6805195
-3.1104432458128173	2.1045191287994385	-0.7160906
-3.1104432458128173	2.1704089641571045	-0.6791882
-3.1104432458128173	2.2266242504119873	-0.70580745
-3.1104432458128173	2.297947645187378	-0.7599253
-3.1104432458128173	2.358506441116333	-0.7418797
-3.1104432458128173	2.4147870540618896	-0.6291632
-3.1104432458128173	2.4859201908111572	-0.66067815
-3.1104432458128173	2.5432288646698	-0.70170563
-3.1104432458128173	2.606581449508667	-0.7332054
-3.1104432458128173	2.670215368270874	-0.64813834
-3.1104432458128173	2.731062650680542	-0.63772064
-3.1104432458128173	2.7927157878875732	-0.73485357
-3.1104432458128173	2.8619792461395264	-0.6461261
-3.1104432458128173	2.922391653060913	-0.61179435
-3.1104432458128173	2.9931423664093018	-0.48470628
-3.1104432458128173	3.0448696613311768	-0.60204124
-3.1104432458128173	3.10886549949646	-0.5827281
-3.046077781882856	-3.109478712081909	-0.6417184
-3.046077781882856	-3.0473597049713135	-0.6239781
