	N	D	A
0	3070	-3.1399804530842723	-1.6214577
1	3070	-3.1384968495964047	1.9916222
2	3070	-3.138085339139916	2.5217855
3	3070	-3.131457854945937	-2.826274
4	3070	-3.1274239695500916	-2.8900065
5	3070	-3.126820240393532	3.0974815
6	3070	-3.1213108734267236	-2.974774
7	3070	-3.120154853920666	-3.0882213
8	3070	-3.116066822412125	3.0918663
9	3070	-3.1133865898336777	-2.469285
10	3070	-3.1106359673087254	-2.8048003
11	3070	-3.1081100511514617	-2.7796936
12	3070	-3.1016531272124745	-2.5765967
13	3070	-3.099717403683596	2.472203
14	3070	-3.0847053939386555	-2.0572972
15	3070	-3.084475272959698	-2.442027
16	3070	-3.0817408942685547	2.7442458
17	3070	-3.081418724898014	3.021919
18	3070	-3.076320868387694	-2.4834404
19	3070	-3.0748643379561744	-1.9325117
20	3070	-3.070278162210831	-2.3501236
21	3070	-3.069511994716184	-1.6616411
22	3070	-3.0668209329151974	-1.418202
23	3070	-3.0618042955739213	-1.8814265
24	3070	-3.055065811848916	1.5617254
25	3070	-3.0546597160036963	-2.9246058
26	3070	-3.0496701517187685	-3.0176194
27	3070	-3.0473310396503055	-3.1170459
28	3070	-3.0377146900355125	-2.547514
29	3070	-3.033921754841164	-2.5859103
30	3070	-3.033567097803006	2.925207
31	3070	-3.032294664154652	-3.070242
32	3070	-3.03179110530658	-2.7521129
33	3070	-3.0277328541600217	-2.8964071
34	3070	-3.024714208377225	-2.4980936
35	3070	-3.0217307575676804	-2.2880666
36	3070	-3.018679624117266	-2.1875987
37	3070	-3.0152630044061546	-1.9483091
38	3070	-3.012322870486767	-1.904369
39	3070	-3.0099972949464773	-1.8319657
40	3070	-3.0081590344204514	-1.5951738
41	3070	-3.005094364441863	-1.5590049
42	3070	-3.001718354315273	-1.6140077
43	3070	-2.9988052934522336	-1.2933686
44	3070	-2.9951368943170857	-1.3373643
45	3070	-2.992616392771091	-1.3680999
46	3070	-2.988587921986516	-2.7533407
47	3070	-2.9882251430314533	2.8790352
48	3070	-2.987962534384878	-1.7391204
49	3070	-2.9876132919579894	1.6711767
50	3070	-2.98700956280143	-2.9271326
51	3070	-2.9776043830261507	2.4937937
52	3070	-2.973678789855698	-2.5975163
53	3070	-2.9704733399840997	-2.6515603
54	3070	-2.9684103730903857	-2.7967772
55	3070	-2.9658709204049476	-2.3097267
56	3070	-2.964823193124282	-2.3513663
57	3070	-2.957521589827239	2.5412853
58	3070	-2.956955762949567	-1.800127
59	3070	-2.9557022804406565	-3.0956213
60	3070	-2.9550525270883057	-2.5978103
61	3070	-2.9528298291621384	-2.6647377
62	3070	-2.9509238859952425	-2.3843164
63	3070	-2.948498140146466	-1.810694
64	3070	-2.9463322956386295	-2.572276
65	3070	-2.937574161910067	-1.8729
66	3070	-2.937011042338029	-2.9417577
67	3070	-2.933293911701455	-3.0445929
68	3070	-2.932227233281346	-2.6604075
69	3070	-2.9295605372310725	-2.497162
70	3070	-2.9281554456066137	-2.674406
71	3070	-2.927708740176872	-2.5005357
72	3070	-2.9249960199308074	-2.4405298
73	3070	-2.91987109036414	-2.821631
74	3070	-2.916346178427636	1.2568467
75	3070	-2.916045667502174	3.0809596
76	3070	-2.9132571426983347	2.8873074
77	3070	-2.9108855429622538	-2.7226145
78	3070	-2.90617483115771	-0.9896488
79	3070	-2.9055331997222638	-2.8651721
80	3070	-2.897097235364241	-0.22543001
81	3070	-2.896387921287925	-2.0162482
82	3070	-2.8939459316053395	3.0000246
83	3070	-2.8898254124291807	3.1095445
84	3070	-2.887743494396023	-2.0103106
85	3070	-2.8861136964038763	-2.1813505
86	3070	-2.8814598380176633	-2.3154216
87	3070	-2.880720743579364	-2.4652104
88	3070	-2.87931835926054	-2.4559848
89	3070	-2.8771037832512776	-2.068237
90	3070	-2.873673627011992	2.4835956
91	3070	-2.8732215069709808	-2.7959826
92	3070	-2.869054963599031	-2.5311217
93	3070	-2.8629770624489153	-2.7786283
